date,day_of_week,month,is_weekday,file_count_AM_actual,file_count_PM_actual,total_records_AM_actual,total_records_PM_actual,file_count_AM_predicted,file_count_PM_predicted,total_records_AM_predicted,total_records_PM_predicted
2020-05-15,4,5,1,1.0,1.0,281246.0,70702.0,1.2791783740454619,1.0843419938310073,1600121.4655762424,879466.9934976595
2020-05-16,5,5,0,1.0,1.0,196088.0,873126.0,1.533942785081731,1.0,1583361.3651001113,873126.0
2020-05-18,0,5,1,2.0,2.0,4136339.0,3284620.0,2.9661249350158996,2.401154704749137,6352149.676720597,4414681.945652489
2020-05-19,1,5,1,2.0,5.0,3636939.0,11110272.0,3.2788280801895597,6.832119011558352,7160979.389225019,15299098.057241034
2020-05-20,2,5,1,8.0,1.0,14532871.0,911241.0,2.5958256548334093,1.3657149954460996,4695122.851664262,1616711.4363980195
2020-05-21,3,5,1,7.0,1.0,16419444.0,396034.0,1.7104873576507733,1.2060850488109884,2278446.704330945,1143322.2007105907
2020-05-22,4,5,1,1.0,1.0,834094.0,262915.0,1.2791783740454619,1.0843419938310073,1600121.4655762424,879466.9934976595
2020-05-23,5,5,0,1.0,1.0,375542.0,873126.0,1.533942785081731,1.0,1583361.3651001113,873126.0
2020-05-25,0,5,1,2.0,1.0,4561074.0,873126.0,2.9661249350158996,2.401154704749137,6352149.676720597,4414681.945652489
2020-05-26,1,5,1,1.0,6.0,2865948.0,14269707.0,3.2788280801895597,6.832119011558352,7160979.389225019,15299098.057241034
2020-05-27,2,5,1,3.0,1.0,5430808.0,441657.0,2.5958256548334093,1.3657149954460996,4695122.851664262,1616711.4363980195
2020-05-28,3,5,1,1.0,1.0,44543.0,540175.0,1.7104873576507733,1.2060850488109884,2278446.704330945,1143322.2007105907
2020-05-29,4,5,1,1.0,1.0,703195.0,57184.0,1.2791783740454619,1.0843419938310073,1600121.4655762424,879466.9934976595
2020-05-30,5,5,0,1.0,1.0,404734.0,873126.0,1.533942785081731,1.0,1583361.3651001113,873126.0
2020-06-01,0,6,1,1.0,2.0,2823331.0,3620824.0,2.949084214509323,2.3100964242545916,6544069.544745941,4384902.645056967
2020-06-02,1,6,1,2.0,6.0,3078259.0,14157355.0,3.213339505622283,7.026978237057725,6309583.05233924,15664116.76420496
2020-06-03,2,6,1,5.0,1.0,7831022.0,1275045.0,1.9662046754794538,1.0,3008799.5860978235,651414.8350895437
2020-06-04,3,6,1,1.0,5.0,396364.0,11042408.0,1.096313425308906,1.44510593389384,703142.7058661443,1305016.7455684873
2020-06-05,4,6,1,1.0,2.0,514180.0,4461295.0,1.0,1.1440482724649954,903739.8100982893,892774.0581852255
2020-06-06,5,6,0,3.0,1.0,7927539.0,873126.0,1.29851976885854,1.0,1218070.942397926,873126.0
2020-06-08,0,6,1,2.0,2.0,4158730.0,3547353.0,2.949084214509323,2.3100964242545916,6544069.544745941,4384902.645056967
2020-06-09,1,6,1,3.0,7.0,7465933.0,15839824.0,3.213339505622283,7.026978237057725,6309583.05233924,15664116.76420496
2020-06-10,2,6,1,1.0,1.0,1739753.0,56423.0,1.9662046754794538,1.0,3008799.5860978235,651414.8350895437
2020-06-11,3,6,1,1.0,1.0,874497.0,779797.0,1.096313425308906,1.44510593389384,703142.7058661443,1305016.7455684873
2020-06-12,4,6,1,1.0,1.0,236069.0,1314966.0,1.0,1.1440482724649954,903739.8100982893,892774.0581852255
2020-06-13,5,6,0,1.0,1.0,216794.0,873126.0,1.29851976885854,1.0,1218070.942397926,873126.0
2020-06-15,0,6,1,2.0,2.0,4911536.0,3082410.0,2.949084214509323,2.3100964242545916,6544069.544745941,4384902.645056967
2020-06-16,1,6,1,1.0,6.0,1038555.0,15300280.0,3.213339505622283,7.026978237057725,6309583.05233924,15664116.76420496
2020-06-17,2,6,1,4.0,1.0,6963416.0,823655.0,1.9662046754794538,1.0,3008799.5860978235,651414.8350895437
2020-06-18,3,6,1,1.0,1.0,1879279.0,51119.0,1.096313425308906,1.44510593389384,703142.7058661443,1305016.7455684873
2020-06-19,4,6,1,1.0,1.0,766129.0,1442383.0,1.0,1.1440482724649954,903739.8100982893,892774.0581852255
2020-06-20,5,6,0,1.0,1.0,870333.0,873126.0,1.29851976885854,1.0,1218070.942397926,873126.0
2020-06-22,0,6,1,8.0,2.0,20061550.0,4214707.0,2.949084214509323,2.3100964242545916,6544069.544745941,4384902.645056967
